test_name,mapped_to_group,tier,group_patients,group_measurements
HOMOCYSTEINE (S/P) (TEST:NCHOMCYS),homocysteine,1,225,1738
HOMOCYSTEINE (S/P) (TEST:NHHOMCYS),homocysteine,1,225,1738
HOMOCYSTEINE (TEST:BC1-1127),homocysteine,1,225,1738
HOMOCYSTEINE (TEST:FC500.5300),homocysteine,1,225,1738
HOMOCYSTEINE (TEST:MCSQ-HCYSS1),homocysteine,1,225,1738
HOMOCYSTEINE (TEST:NCSQE-HCYSS1),homocysteine,1,225,1738
HOMOCYSTEINE (TEST:SC404.2001),homocysteine,1,225,1738
HOMOCYSTEINE (TEST:VCSQE-HOMOC),homocysteine,1,225,1738
HOMOCYSTEINE (TEST:WC326.0810),homocysteine,1,225,1738
HOMOCYSTEINE - SERUM (TEST:FC50.1866),homocysteine,1,225,1738
HOMOCYSTEINE BLOOD (TEST:EL:52000161843),homocysteine,1,225,1738
HOMOCYSTEINE TOTAL (TEST:BHHCY),homocysteine,1,225,1738
HOMOCYSTEINE TOTAL (TEST:DHSQE-HCY),homocysteine,1,225,1738
HOMOCYSTEINE TOTAL (TEST:FHHCY),homocysteine,1,225,1738
HOMOCYSTEINE TOTAL (TEST:MHSQ-HCY),homocysteine,1,225,1738
HOMOCYSTEINE TOTAL (TEST:MHSQ-HCYP),homocysteine,1,225,1738
HOMOCYSTEINE TOTAL (TEST:WHHCY),homocysteine,1,225,1738
"HOMOCYSTEINE, TOTAL (TEST:DCSQE-HOMCYS)",homocysteine,1,225,1738
"HOMOCYSTEINE, TOTAL (TEST:EL:5200006649)",homocysteine,1,225,1738
"HOMOCYSTEINE, TOTAL BLOOD (TEST:EL:5200006650)",homocysteine,1,225,1738
"HOMOCYSTEINE, TOTAL BLOOD (TEST:EL:5290006063)",homocysteine,1,225,1738
"HOMOCYSTEINE,TOTAL (TEST:BCHOMCYS)",homocysteine,1,225,1738
"HOMOCYSTEINE,TOTAL BLOOD (TEST:EL:5200007006)",homocysteine,1,225,1738
HOMOCYSTINE (TEST:BCAAX22),homocystine,1,4,6
HS-CRP (TEST:FC10.0829),c_reactive_protein,1,2605,53341
HS-CRP (TEST:FC500.9750),c_reactive_protein,1,2605,53341
HS-CRP (TEST:FC500.9800),c_reactive_protein,1,2605,53341
HYPOGRANULAR PLTS (TEST:DCSQE-DFHGP),platelets_agranular,1,199,829
HYPOGRANULAR PLTS (TEST:DHSQE-DFHGP),platelets_agranular,1,199,829
HYPOGRANULAR PLTS BLOOD (TEST:EL:5200004272),platelets_agranular,1,199,829
I (HEART) (TEST:WC603.3900),lactate_dehydrogenase_1/lactate_dehydrogenase_total,1,8,25
"I, HEART (TEST:BCLD4)",lactate_dehydrogenase_1/lactate_dehydrogenase_total,1,8,25
"I, HEART BLOOD (TEST:EL:5200007986)",lactate_dehydrogenase_1/lactate_dehydrogenase_total,1,8,25
IGG (TEST:WC603.0110),cardiolipin_ab_igg,1,756,3266
IGG/ALBUMIN RATIO CEREBROSPINAL FLUID (TEST:EL:5200009398),igg/albumin,1,16,44
"IGG/ALBUMIN, S (TEST:MCSQ-MSPR11)",igg/albumin,1,16,44
IGM (TEST:WC603.0160),cardiolipin_ab_igm,1,756,3199
II (TEST:BCLDI5),lactate_dehydrogenase_2/lactate_dehydrogenase_total,1,8,25
II (TEST:WC603.4000),lactate_dehydrogenase_2/lactate_dehydrogenase_total,1,8,25
II BLOOD (TEST:EL:5200008000),lactate_dehydrogenase_2/lactate_dehydrogenase_total,1,8,25
II LEV (TEST:BH1-66),prothrombin_activity_actual/normal,1,36,162
III (TEST:BCLDI6),lactate_dehydrogenase_3/lactate_dehydrogenase_total,1,8,25
III (TEST:WC603.4100),lactate_dehydrogenase_3/lactate_dehydrogenase_total,1,8,25
III BLOOD (TEST:EL:5200008001),lactate_dehydrogenase_3/lactate_dehydrogenase_total,1,8,25
IL-10 (FLUID) (TEST:EL:5290001362),interleukin_10,1,2,8
"IL-10, SERUM (TEST:DCSQE-FIL1S1)",interleukin_10,1,2,8
"IL-10, SERUM (TEST:EL:5200005492)",interleukin_10,1,2,8
"IL-10, SERUM (TEST:FCFIL1S1)",interleukin_10,1,2,8
IL-6 (TEST:BC1-1597),interleukin_6,1,202,1446
INDIRECT BILI (TEST:NCIBIL),bilirubin_non-glucuronidated,1,147,809
INDIRECT BILIRUBIN (ADULT) (TEST:WC331.2400),bilirubin_non-glucuronidated,1,147,809
INR (PONT OF CARE) (TEST:WH201.0352),coagulation_tissue_factor_induced_inr,1,5349,323024
INR (TEST:DCSQE-PTI),coagulation_tissue_factor_induced_inr,1,5349,323024
INR (TEST:EL:5200011232),coagulation_tissue_factor_induced_inr,1,5349,323024
INR (TEST:EL:5210000394),coagulation_tissue_factor_induced_inr,1,5349,323024
INR (TEST:FC70.0200),coagulation_tissue_factor_induced_inr,1,5349,323024
INR (TEST:FCLUP2),coagulation_tissue_factor_induced_inr,1,5349,323024
INR (TEST:MCSQ-ALUPP3),coagulation_tissue_factor_induced_inr,1,5349,323024
INR (TEST:MCSQ-LUP2),coagulation_tissue_factor_induced_inr,1,5349,323024
INR (TEST:MHSQ-ZPTI),coagulation_tissue_factor_induced_inr,1,5349,323024
INR (TEST:NCINR),coagulation_tissue_factor_induced_inr,1,5349,323024
INR (TEST:NCINRL),coagulation_tissue_factor_induced_inr,1,5349,323024
INR (TEST:NCSQE-ALUPP3),coagulation_tissue_factor_induced_inr,1,5349,323024
INR (TEST:NCSQE-LUP2),coagulation_tissue_factor_induced_inr,1,5349,323024
INR (TEST:NHINR),coagulation_tissue_factor_induced_inr,1,5349,323024
INR (TEST:NHSQE-ZPTI),coagulation_tissue_factor_induced_inr,1,5349,323024
INR (TEST:SCLUP2),coagulation_tissue_factor_induced_inr,1,5349,323024
INR (TEST:SH200.0400),coagulation_tissue_factor_induced_inr,1,5349,323024
INR (TEST:VHSQE-ZPTI),coagulation_tissue_factor_induced_inr,1,5349,323024
INR (TEST:WH201.0300),coagulation_tissue_factor_induced_inr,1,5349,323024
INR (TEST:WHZPTI),coagulation_tissue_factor_induced_inr,1,5349,323024
INR - CA (TEST:NHINRC),coagulation_tissue_factor_induced_inr,1,5349,323024
INR BLOOD (TEST:EL:5200011231),coagulation_tissue_factor_induced_inr,1,5349,323024
INR BLOOD (TEST:EL:5290007132),coagulation_tissue_factor_induced_inr,1,5349,323024
INR ISTAT (TEST:NCINRANS),coagulation_tissue_factor_induced_inr,1,5349,323024
INR ISTAT (TEST:NCINRCAT),coagulation_tissue_factor_induced_inr,1,5349,323024
INR ISTAT (TEST:NCINREND),coagulation_tissue_factor_induced_inr,1,5349,323024
INR ISTAT (TEST:NCINRIS),coagulation_tissue_factor_induced_inr,1,5349,323024
INR ISTAT (TEST:NCINRRAD),coagulation_tissue_factor_induced_inr,1,5349,323024
INR ISTAT (TEST:NCINRSGC),coagulation_tissue_factor_induced_inr,1,5349,323024
INR ISTAT (TEST:NCINRUIR),coagulation_tissue_factor_induced_inr,1,5349,323024
INR ISTAT (TEST:NHINRIS),coagulation_tissue_factor_induced_inr,1,5349,323024
INR POC (TEST:MHSQ-PTI7),inr_poc_test_mhsq-pti7,3,81,364
INR POC (TEST:NHSQE-PTI7),inr_poc_test_mhsq-pti7,3,81,364
INR POC (TEST:VHSQE-PTI7),inr_poc_test_mhsq-pti7,3,81,364
"INR,FOX (TEST:BH1-503)",coagulation_tissue_factor_induced_inr,1,5349,323024
INTER NORMALIZ RATIO (TEST:FC20.0420),coagulation_tissue_factor_induced_inr,1,5349,323024
INTER NORMALIZ RATIO (TEST:FH20.0420),coagulation_tissue_factor_induced_inr,1,5349,323024
INTERFERON-GAMMA (NIL) (TEST:EL:5020097100),mycobacterium_bovis_tuberculin_stimulated_gamma_interferon-control_stimulated_gamma_interferon,1,128,221
INTERLEUK 2 RECEPTOR (TEST:BCIL2R1),interleukin_2_receptor,1,52,144
INTERLEUK 2 RECEPTOR (TEST:DCSQE-IL2R1),interleukin_2_receptor,1,52,144
INTERLEUK 2 RECEPTOR (TEST:MCSQ-IL2R1),interleukin_2_receptor,1,52,144
INTERLEUKIN 1-BETA (TEST:DCSQE-FINTB1),interleukin_1_beta,1,4,17
INTERLEUKIN 1-BETA (TEST:EL:5200005504),interleukin_1_beta,1,4,17
INTERLEUKIN 1-BETA (TEST:FCFINTB1),interleukin_1_beta,1,4,17
INTERLEUKIN 18 (TEST:EL:52000157696),interleukin_18,1,3,3
INTERLEUKIN 2 (TEST:BC1-412),interleukin_2,1,23,55
INTERLEUKIN 2 (TEST:BCINL2),interleukin_2,1,23,55
INTERLEUKIN 2 BLOOD (TEST:EL:5200007593),interleukin_2,1,23,55
"INTERLEUKIN 2 RECEPTOR (CD25), SOLUBLE BLOOD (TEST:EL:5200007493)",interleukin_2_receptor_soluble,1,78,209
INTERLEUKIN 2 RECEPTOR (TEST:BC1-415),interleukin_2_receptor_soluble,1,78,209
INTERLEUKIN 2 RECEPTOR (TEST:DCSQE-ILK2RM),interleukin_2_receptor_soluble,1,78,209
INTERLEUKIN 2 RECEPTOR (TEST:EL:5200007514),interleukin_2_receptor,1,52,144
INTERLEUKIN 6 (TEST:BCILKN6),interleukin_6,1,202,1446
INTERLEUKIN 6 (TEST:BCINLKN6),interleukin_6,1,202,1446
INTERLEUKIN 6 (TEST:DCSQE-ILKN6),interleukin_6,1,202,1446
INTERLEUKIN 6 (TEST:DCSQE-INLKN6),interleukin_6,1,202,1446
INTERLEUKIN 6 (TEST:EL:5290007698),interleukin_6,1,202,1446
INTERLEUKIN 6 (TEST:MCSQ-IL6LAB),interleukin_6,1,202,1446
INTERLEUKIN 6 (TEST:MCSQ-ILKN6),interleukin_6,1,202,1446
INTERLEUKIN 6 (TEST:NCSQE-ILKN6),interleukin_6,1,202,1446
"INTERLEUKIN-10,SL (TEST:MCSQ-IL10)",interleukin_10,1,2,8
"INTERLEUKIN-1B,SPECIALTY LABS (TEST:MCSQ-IL1B)",interleukin_1_beta,1,4,17
INTERLEUKIN-2 RECEPT (TEST:MCSQ-A34298),interleukin_2_receptor,1,52,144
"INTERLEUKIN-2 RECEPT SOL,SPECIALTY (TEST:MCSQ-IL2R)",interleukin_2_receptor_soluble,1,78,209
"INTERLEUKIN-2,SPECIALTY LABS (TEST:MCSQ-INTL2)",interleukin_2,1,23,55
INTERLEUKIN-6 (TEST:WCINTSIX),interleukin_6,1,202,1446
"INTERLEUKIN-6,SPECIALTY LABS (TEST:MCSQ-IL6)",interleukin_6,1,202,1446
INTERLKN 2 RECEPTOR BLOOD (TEST:EL:5200007492),interleukin_2_receptor_soluble,1,78,209
INTERPRETATION (LUPUS ANTICOAGULANT) BLOOD (TEST:EL:52900002303),lupus_anticoagulant_neutralization_platelet,1,209,776
INTERPRETATION (TEST:BCPLABN2),cholr_interpretation_test_wc331.3370,3,51,146
INTERPRETATION (TEST:FC70.1300),lupus_anticoagulant,1,25,127
INTERPRETATION (TEST:FC77.0100),hemoglobin_pattern,1,57,373
INTERPRETATION (TEST:FCLUP5),lupus_anticoagulant_two_screening_tests_w_reflex,1,17,37
INTERPRETATION (TEST:MCSQ-CBPAN2),cholr_interpretation_test_wc331.3370,3,51,146
INTERPRETATION (TEST:MCSQ-LUP5),lupus_anticoagulant_two_screening_tests_w_reflex,1,17,37
INTERPRETATION (TEST:MCSQ-PLABN2),cholr_interpretation_test_wc331.3370,3,51,146
INTERPRETATION (TEST:NCLDINT),lactate_dehydrogenase_isoenzymes,1,1,5
INTERPRETATION (TEST:NCSQE-LUP5),lupus_anticoagulant_two_screening_tests_w_reflex,1,17,37
INTERPRETATION (TEST:SCLUP5),lupus_anticoagulant_two_screening_tests_w_reflex,1,17,37
INTERPRETATION (TEST:WC201.3260),coagulation_specialist_review,1,1196,7775
INTERPRETATION (TEST:WC601.30001),antithrombin,1,1,3
INTERPRETATION (TEST:WC601.7541),lupus_anticoagulant,1,25,127
INTERPRETATION (TEST:WC601.88001),cholr_interpretation_test_wc331.3370,3,51,146
INTERPRETATION (TEST:WC601.90001),cholr_interpretation_test_wc331.3370,3,51,146
INTERPRETATION (TEST:WC652.0508),lipoprotein_beta_subparticle,1,1,2
INTERPRETATION (TEST:WC954.1060),cholesterol_in_ldl_real_size_pattern,1,1,2
INTERPRETATION BLOOD (TEST:EL:5200017527),cholr_interpretation_test_wc331.3370,3,51,146
INTERPRETATION SPEC COAG (TEST:BH1-468),coagulation_specialist_review,1,1196,7775
IOCA (TEST:BC1-386),calcium_ionized,1,1590,168897
IOCA (TEST:BCIOCA),calcium_ionized,1,1590,168897
IOCA (TEST:BCIOCA8),ioca_test_bcioca8,3,124,1507
IOCA (TEST:DCSQE-IOCA),calcium_ionized,1,1590,168897
IOCA (TEST:EL:5200007614),calcium_ionized,1,1590,168897
IOCA (TEST:FCIOCA),calcium_ionized,1,1590,168897
IOCA BLOOD (TEST:EL:5200007613),calcium_ionized,1,1590,168897
IONIC CALCIUM (TEST:MCIC),calcium_ionized,1,1590,168897
IONIC CALCIUM (TEST:MCSQ-ICA),calcium_ionized,1,1590,168897
IONIC CALCIUM (TEST:NCSQE-ICA),calcium_ionized,1,1590,168897
IONIC CALCIUM (TEST:SCICA),calcium_ionized,1,1590,168897
IONIC CALCIUM (TEST:VCSQE-ICA),calcium_ionized,1,1590,168897
IONIC CALCIUM (TEST:WCICA),calcium_ionized,1,1590,168897
IONIZED CALCIUM (TEST:BC1-163),ionized_calcium_test_bc1-163,3,1,1
IONIZED CALCIUM (TEST:FC50.0460),calcium_ionized,1,1590,168897
IONIZED CALCIUM (TEST:WC301.1000),calcium_ionized,1,1590,168897
IONIZED CALCIUM BLOOD (TEST:EL:5200007294),calcium_ionized,1,1590,168897
IONIZED CALCIUM ISTAT (TEST:NCICAIS),calcium_ionized,1,1590,168897
ISTAT WB GLUCOSE (TEST:EL:5200006326),glucose,1,5640,1901173
ISTAT WB GLUCOSE (TEST:MCSQ-GLUI7),istat_wb_glucose_test_mcsq-glui7,3,10,97
ITIME (SEC) (TEST:SCITIME),itime_sec_test_scitime,3,1,4
IV (TEST:BCLDI7),lactate_dehydrogenase_4/lactate_dehydrogenase_total,1,8,25
IV (TEST:WC603.4200),lactate_dehydrogenase_4/lactate_dehydrogenase_total,1,8,25
IV BLOOD (TEST:EL:5200008002),lactate_dehydrogenase_4/lactate_dehydrogenase_total,1,8,25
IX LEV (TEST:BH1-71),coagulation_factor_ix_activity_actual/normal,1,80,257
K (ISTAT) (TEST:NCKIS),potassium,1,5636,1108714
K (PEDI) (TEST:NCKPED),potassium,1,5636,1108714
K (TEST:MCPOL101),potassium,1,5636,1108714
K (TEST:MCSQ-K4),potassium,1,5636,1108714
K-PL (TEST:BC1-353),potassium,1,5636,1108714
K-PL (TEST:EL:5200007776),potassium,1,5636,1108714
K-WB (TEST:BCKBG),potassium,1,5636,1108714
K-WB (TEST:BCKBG8),potassium,1,5636,1108714
K-WB (TEST:DCSQE-KBG),potassium,1,5636,1108714
K-WB BLOOD (TEST:EL:5200007775),potassium,1,5636,1108714
LA FINAL RESULT (TEST:BHLAFR),lupus_anticoagulant_neutralization_platelet,1,209,776
LA FINAL RESULT (TEST:FHLAFR),lupus_anticoagulant_neutralization_platelet,1,209,776
LACTATE (RT) (TEST:SC310.0040),lactate,1,4061,130524
LACTATE (TEST:BCLAC8),lactate,1,4061,130524
LACTATE (TEST:NCRTLAC),lactate,1,4061,130524
LACTATE (TEST:NCSQE-LACTAC),lactate,1,4061,130524
LACTATE (TEST:WC326.0800),lactate,1,4061,130524
LACTATE BLOOD (TEST:EL:5200007879),lactate,1,4061,130524
LACTATE DEHYDROGENASE (TEST:BCLDI1),lactate_dehydrogenase,1,2804,101127
LACTATE DEHYDROGENASE (TEST:FCLDI1),lactate_dehydrogenase,1,2804,101127
LACTATE DEHYDROGENASE BLOOD (TEST:EL:5200007997),lactate_dehydrogenase,1,2804,101127
"LACTATE, BLOOD (TEST:EL:5200007887)",lactate,1,4061,130524
"LACTATE, WHOLE BLOOD (TEST:BCLACTB)",lactate,1,4061,130524
"LACTATE, WHOLE BLOOD (TEST:MCSQ-LACTB)",lactate,1,4061,130524
"LACTATE, WHOLE BLOOD (TEST:NCSQE-LACTB)",lactate,1,4061,130524
"LACTATE, WHOLE BLOOD (TEST:SCLACTB)",lactate,1,4061,130524
LACTIC ACID (MMOL/L) BLOOD (TEST:EL:5200010744),lactate,1,4061,130524
LACTIC ACID (MMOL/L) BLOOD (TEST:EL:5290002761),lactate,1,4061,130524
LACTIC ACID (TEST:BC1-50),lactate,1,4061,130524
LACTIC ACID (TEST:FC10.0293),lactate,1,4061,130524
LACTIC ACID (TEST:FC500.4500),lactate,1,4061,130524
LACTIC ACID (TEST:MCLACT),lactate,1,4061,130524
LACTIC ACID (TEST:MCSQ-LACT),lactate,1,4061,130524
LACTIC ACID (TEST:MCSQ-ORGAC1),lactate,1,4061,130524
LACTIC ACID (TEST:NCLAC1),lactate,1,4061,130524
"LACTIC ACID, PLASMA (TEST:WC331.6901)",lactate,1,4061,130524
LACTIC ACID/LACTATE - RT (TEST:SC401.4102),lactate,1,4061,130524
LACTIC DEHYDROGENASE (TEST:BCLDH),lactate_dehydrogenase,1,2804,101127
LACTIC DEHYDROGENASE (TEST:FC10.0265),lactate_dehydrogenase,1,2804,101127
LACTIC DEHYDROGENASE (TEST:FC10.0267),lactate_dehydrogenase,1,2804,101127
LACTIC DEHYDROGENASE (TEST:FCLDH),lactate_dehydrogenase,1,2804,101127
LACTIC DEHYDROGENASE (TEST:MC.LDH),lactate_dehydrogenase,1,2804,101127
LACTIC DEHYDROGENASE (TEST:MCLDH),lactate_dehydrogenase,1,2804,101127
LACTIC DEHYDROGENASE (TEST:MCSQ-LDH),lactate_dehydrogenase,1,2804,101127
LACTIC DEHYDROGENASE (TEST:MCSQ-LDH1),lactate_dehydrogenase,1,2804,101127
LACTIC DEHYDROGENASE (TEST:NCSQE-LDH),lactate_dehydrogenase,1,2804,101127
LACTIC DEHYDROGENASE (TEST:SC400.4310),lactate_dehydrogenase,1,2804,101127
LACTIC DEHYDROGENASE (TEST:VCSQE-LDH),lactate_dehydrogenase,1,2804,101127
LACTIC DEHYDROGENASE (TEST:WCLDH),lactate_dehydrogenase,1,2804,101127
LARGE HDL PARTICLE CONCENTRATI (TEST:WC677.0780),lipoprotein_alpha_subparticle_large,1,1,3
LARGE HDL PARTICLE CONCENTRATI (TEST:WC954.1055),lipoprotein_alpha_subparticle_large,1,1,3
LARGE PLATELETS (TEST:WH102.3200),platelets_large,1,510,7657
LARGE PLT (TEST:FH20.0297),platelets_large,1,510,7657
LARGE PLT (TEST:FH601.0970),platelets_large,1,510,7657
LARGE PLTS (TEST:DCSQE-DFLP),platelets_large,1,510,7657
LARGE PLTS (TEST:DHSQE-DFLP),platelets_large,1,510,7657
LARGE PLTS BLOOD (TEST:EL:5200004277),platelets_large,1,510,7657
LARGE/GIANT PLATELETS (TEST:EL:5290000738),platelets_giant,1,1027,23912
LARGE/GIANT PLTS (TEST:MHSQ-LGTPLT),platelets_giant,1,1027,23912
LARGE/GIANT PLTS (TEST:SHLGTPLT),platelets_giant,1,1027,23912
LD ISOENZYMES (TEST:EL:5200007998),lactate_dehydrogenase_isoenzymes,1,1,5
"LD ISOENZYMES,MP (TEST:MCSQ-MPLDIS)",lactate_dehydrogenase_isoenzymes,1,1,5
LD/LDH (TEST:WC326.2290),lactate_dehydrogenase,1,2804,101127
LD/LDH (TEST:WC331.1500),lactate_dehydrogenase,1,2804,101127
LD1 (TEST:NCLD1),lactate_dehydrogenase_1/lactate_dehydrogenase_total,1,8,25
LD2 (TEST:NCLD2),lactate_dehydrogenase_2/lactate_dehydrogenase_total,1,8,25
LD3 (TEST:NCLD3),lactate_dehydrogenase_3/lactate_dehydrogenase_total,1,8,25
LD4 (TEST:NCLD4),lactate_dehydrogenase_4/lactate_dehydrogenase_total,1,8,25
LD5 (TEST:NCLD5),lactate_dehydrogenase_5/lactate_dehydrogenase_total,1,8,25
LDH (TEST:BC1-22),lactate_dehydrogenase,1,2804,101127
LDH (TEST:DCSQE-LDH),lactate_dehydrogenase,1,2804,101127
LDH (TEST:DHSQE-LDH),lactate_dehydrogenase,1,2804,101127
LDH (TEST:EL:5200007995),lactate_dehydrogenase,1,2804,101127
LDH (TEST:FC500.4050),lactate_dehydrogenase,1,2804,101127
LDH (TEST:FC500.4100),lactate_dehydrogenase,1,2804,101127
LDH (TEST:NCLD),lactate_dehydrogenase,1,2804,101127
LDH (TEST:NCLDH),lactate_dehydrogenase,1,2804,101127
LDH (TEST:NHSQE-LDH),lactate_dehydrogenase,1,2804,101127
LDH (TEST:SC400.4300),lactate_dehydrogenase,1,2804,101127
LDH (TEST:SCLDH),lactate_dehydrogenase,1,2804,101127
LDH1 (TEST:BC1-32),lactate_dehydrogenase_1/lactate_dehydrogenase_total,1,8,25
LDH2 (TEST:BC1-33),lactate_dehydrogenase_2/lactate_dehydrogenase_total,1,8,25
LDH3 (TEST:BC1-34),lactate_dehydrogenase_3/lactate_dehydrogenase_total,1,8,25
LDH4 (TEST:BC1-35),lactate_dehydrogenase_4/lactate_dehydrogenase_total,1,8,25
LDH5 (TEST:BC1-36),lactate_dehydrogenase_5/lactate_dehydrogenase_total,1,8,25
LDL (TEST:MCPOL200),cholesterol_in_ldl,1,2117,57556
LDL (TEST:MCSQ-LDLC4),cholesterol_in_ldl,1,2117,57556
LDL (TEST:NCDLDL1),cholesterol_in_ldl,1,2117,57556
LDL (TEST:NCLDLR),cholesterol_in_ldl,1,2117,57556
LDL (TEST:SCLDL),cholesterol_in_ldl,1,2117,57556
LDL BLOOD (TEST:EL:5200008004),cholesterol_in_ldl,1,2117,57556
LDL CHOL (CALC) (TEST:FC500.7700),cholesterol_in_ldl,1,2117,57556
LDL CHOL (CALC) (TEST:FC500.7750),cholesterol_in_ldl,1,2117,57556
LDL CHOL (DIRECT) (TEST:FC500.7900),cholesterol_in_ldl,1,2117,57556
LDL CHOL (DIRECT) (TEST:FC500.7950),cholesterol_in_ldl,1,2117,57556
LDL CHOLESTEROL (CALC) (TEST:WC326.2415),cholesterol_in_ldl,1,2117,57556
LDL CHOLESTEROL (TEST:BCLPEP4),cholesterol_in_ldl,1,2117,57556
LDL CHOLESTEROL (TEST:FC10.0317),cholesterol_in_ldl,1,2117,57556
LDL CHOLESTEROL (TEST:SC400.2585),cholesterol_in_ldl,1,2117,57556
LDL CHOLESTEROL (TEST:WC326.2410),cholesterol_in_ldl,1,2117,57556
LDL CHOLESTEROL (TEST:WC331.3100),cholesterol_in_ldl,1,2117,57556
LDL CHOLESTEROL (TEST:WC331.3120),cholesterol_in_ldl,1,2117,57556
LDL CHOLESTEROL (TEST:WC331.3355),cholesterol_in_ldl,1,2117,57556
LDL CHOLESTEROL SCREENING (TEST:FC10.1696),cholesterol_in_ldl,1,2117,57556
LDL CHOLESTEROL SCREENING (TEST:FC500.7800),cholesterol_in_ldl,1,2117,57556
LDL CHOLESTEROL SCREENING (TEST:FC500.7850),cholesterol_in_ldl,1,2117,57556
"LDL CHOLESTEROL, DIRECT SERUM (TEST:FC50.0058)",cholesterol_in_ldl,1,2117,57556
"LDL DIRECT, SERUM (TEST:WC652.0500)",cholesterol_in_ldl,1,2117,57556
LDL SUBFRACTIONATION (TEST:WC652.0507),lipoprotein_beta_subparticle,1,1,2
LG PLATELETS (TEST:FHLPLT),platelets_large,1,510,7657
LG PLATELETS (TEST:MHSQ-LPLT),platelets_large,1,510,7657
LG PLATELETS (TEST:MHSQ-LPLT1),platelets_large,1,510,7657
LG PLATELETS (TEST:NHLPLTS),platelets_large,1,510,7657
LG PLATELETS (TEST:NHSQE-LPLT),platelets_large,1,510,7657
LG PLATELETS (TEST:VHSQE-LPLT),platelets_large,1,510,7657
LG PLATELETS (TEST:WHLPLT),platelets_large,1,510,7657
LG PLATELETS BLOOD (TEST:EL:5200008277),platelets_large,1,510,7657
LIPO PEP (TEST:BC1-127),lipoprotein_pattern,1,2,4
LIPOA (TEST:BC1-776),lipoprotein_(little_a),1,252,682
LIPOPROTEIN (A) (TEST:EL:5290006654),lipoprotein_(little_a),1,252,682
LIPOPROTEIN (A) AML (TEST:MCSQ-LPAAML),lipoprotein_(little_a),1,252,682
"LIPOPROTEIN (A), AML (TEST:MCSQ-LPAAML)",lipoprotein_(little_a),1,252,682
"LIPOPROTEIN (A),LL (TEST:MCLP(A))",lipoprotein_(little_a),1,252,682
"LIPOPROTEIN (A),MP (TEST:MCLPP(A))",lipoprotein_(little_a),1,252,682
LIPOPROTEIN A (TEST:BCLPAM),lipoprotein_(little_a),1,252,682
LIPOPROTEIN A (TEST:EL:5200008267),lipoprotein_(little_a),1,252,682
LIPOPROTEIN A (TEST:FC50.022),lipoprotein_(little_a),1,252,682
LIPOPROTEIN A (TEST:MCSQ-LPAM),lipoprotein_(little_a),1,252,682
LIPOPROTEIN A (TEST:MCSQ-MLPPA),lipoprotein_a_test_mcsq-mlppa,3,72,99
LIPOPROTEIN A (TEST:NCLIPOA1),lipoprotein_(little_a),1,252,682
LIPOPROTEIN A (TEST:NCSQE-LPAM),lipoprotein_(little_a),1,252,682
LIPOPROTEIN A (TEST:WCLPAM),lipoprotein_(little_a),1,252,682
"LIPOPROTEIN A, SERUM (TEST:WC601.7420)",lipoprotein_(little_a),1,252,682
LIPOPROTEIN ELECTROPH (TEST:BCLPEP6),lipoprotein_pattern,1,2,4
"LIPOPROTEIN ELECTROPHORESIS,MP (TEST:MCSQ-LIPEP)",lipoprotein_pattern,1,2,4
LIPOPROTEIN(A) (TEST:EL:5200018868),lipoprotein_(little_a),1,252,682
LITER FLOW (TEST:SC301.0500),liter_flow_test_sc301.0500,3,3,12
LITERS/MIN (TEST:EL:5200015358),liters/min_test_wc301.0600,3,28,253
LITERS/MIN (TEST:FC90.0070),liters/min_test_fc90.0070,3,16,64
LITERS/MIN (TEST:FC90.0210),liters/min_test_fc90.0070,3,16,64
LITERS/MIN (TEST:FCALM),liters/min_test_wc301.0600,3,28,253
LITERS/MIN (TEST:FCVLM),liters/min_test_wc301.0600,3,28,253
LITERS/MIN (TEST:WC301.0600),liters/min_test_wc301.0600,3,28,253
LITERS/MIN (TEST:WC301.1640),liters/min_test_wc301.0600,3,28,253
LITERS/MIN BLOOD (TEST:EL:5200001169),liters/min_test_wc301.0600,3,28,253
LOW DENSITY LIPOPROTEIN (TEST:FCLDL),cholesterol_in_ldl,1,2117,57556
LOW DENSITY LIPOPROTEIN (TEST:MC.LDL),cholesterol_in_ldl,1,2117,57556
LOW DENSITY LIPOPROTEIN (TEST:MCLDL),cholesterol_in_ldl,1,2117,57556
LOW DENSITY LIPOPROTEIN (TEST:MCSQ-LDL),cholesterol_in_ldl,1,2117,57556
LOW DENSITY LIPOPROTEIN (TEST:MCSQ-LDL1),cholesterol_in_ldl,1,2117,57556
LOW DENSITY LIPOPROTEIN (TEST:NCSQE-LDL),cholesterol_in_ldl,1,2117,57556
LOW DENSITY LIPOPROTEIN (TEST:VCSQE-LDL),cholesterol_in_ldl,1,2117,57556
"LOW DENSITY LIPOPROTEIN (ULTRA),LL (TEST:MCLDU,LL)",cholesterol_in_ldl,1,2117,57556
"LOW DENSITY LIPOPROTEIN,LL (TEST:MCLDL,LL)",cholesterol_in_ldl,1,2117,57556
"LOW MOLR WGT HEPARIN, PLASMA (TEST:WC601.6015)",heparin_low_molecular_weight,1,468,5828
LPX (TEST:MCSQ-MLPX),lipoprotein_x,1,21,24
LUP CONF (TEST:BH1-277),coagulation_surface_induced_hexagonal_phase_phospholipid,1,342,1557
LUP SCR (TEST:BH1-275),coagulation_surface_induced_lupus_sensitive,1,932,4405
